exec_name,company,end_year,ticker,avg_close_before,avg_close_after,price_change,percent_change,volatility_before,volatility_after,volatility_change,avg_close_before_3mo,avg_close_after_3mo,price_change_3mo,percent_change_3mo,volatility_before_3mo,volatility_after_3mo,volatility_change_3mo,avg_close_before_1mo,avg_close_after_1mo,price_change_1mo,percent_change_1mo,volatility_before_1mo,volatility_after_1mo,volatility_change_1mo,tic,execid,start_year,end_month,tenure_len
Gerard Arpey,AMERICAN AIRLINES GROUP INC,2011,AAL,8.42,9.23,0.81,9.62,1.99,2.75,0.76,5.61,5.59,-0.02,-0.36,0.39,1.06,0.67,5.68,4.75,-0.93,-16.37,0.42,0.5,0.08,AAL,14591,2000,11,12
Thomas Horton,AMERICAN AIRLINES GROUP INC,2013,AAL,17.2,36.76,19.56,113.72,2.9,5.37,2.47,20.92,29.83,8.91,42.59,2.29,4.57,2.28,23.48,24.97,1.49,6.35,0.7,1.57,0.87,AAL,26059,2006,12,8
William Parker,AMERICAN AIRLINES GROUP INC,2022,AAL,20.34,15.27,-5.07,-24.93,2.36,2.12,-0.24,19.18,17.02,-2.16,-11.26,1.48,1.5,0.02,17.62,17.64,0.02,0.11,0.67,1.27,0.6,AAL,46191,2013,1,10
Jack Davis,PINNACLE WEST CAPITAL CORP,2007,PNW,45.83,36.94,-8.89,-19.4,4.1,3.81,-0.29,39.68,42.11,2.43,6.12,0.8,1.13,0.33,39.98,41.09,1.11,2.78,0.25,0.68,0.43,PNW,16802,2000,10,8
William Stewart,PINNACLE WEST CAPITAL CORP,2003,PNW,36.43,35.18,-1.25,-3.43,6.32,2.64,-3.68,29.14,32.17,3.03,10.4,3.06,1.95,-1.11,32.23,33.99,1.76,5.46,1.49,1.95,0.46,PNW,16803,2000,1,4
Donald Brandt,PINNACLE WEST CAPITAL CORP,2019,PNW,89.11,86.47,-2.64,-2.96,5.97,9.36,3.39,95.0,94.59,-0.41,-0.43,1.88,1.65,-0.23,93.71,93.77,0.06,0.06,1.46,1.31,-0.15,PNW,5835,2002,8,18
Randall Edington,PINNACLE WEST CAPITAL CORP,2017,PNW,74.01,85.52,11.51,15.55,4.2,3.9,-0.3,74.98,79.93,4.95,6.6,1.54,2.59,1.05,76.33,77.38,1.05,1.38,1.57,0.53,-1.04,PNW,33218,2007,1,11
James Hatfield,PINNACLE WEST CAPITAL CORP,2021,PNW,80.61,72.12,-8.49,-10.53,4.61,4.42,-0.19,84.81,73.9,-10.91,-12.86,1.81,5.09,3.28,84.18,79.26,-4.92,-5.84,1.05,1.63,0.58,PNW,12755,2008,8,14
Maria Lacal,PINNACLE WEST CAPITAL CORP,2022,PNW,76.0,73.6,-2.4,-3.16,7.4,4.14,-3.26,69.14,75.51,6.37,9.21,1.73,2.34,0.61,69.46,74.67,5.21,7.5,1.28,2.02,0.74,PNW,59742,2020,3,3
Derrick Meyer,ADVANCED MICRO DEVICES,2011,AMD,7.93,7.14,-0.79,-9.96,1.03,1.4,0.37,7.57,8.51,0.94,12.42,0.44,0.48,0.04,8.01,8.17,0.16,2.0,0.2,0.51,0.31,AMD,25959,2001,1,11
