name,company,year,turnover_type,sentiment,turnover_before
Derek Kerr,AMERICAN AIRLINES GROUP INC,2022,Voluntary,0.8049,0
Derek Kerr,AMERICAN AIRLINES GROUP INC,2022,Voluntary,0.9946,1
"Sandeep Chennakeshu, Ph.D.",ADVANCED MICRO DEVICES,2019,Voluntary,0.95866,0
"Sandeep Chennakeshu, Ph.D.",ADVANCED MICRO DEVICES,2019,Voluntary,0.98872,1
Richard Bergman,ADVANCED MICRO DEVICES,2021,Voluntary,0.84778,0
Richard Bergman,ADVANCED MICRO DEVICES,2021,Voluntary,0.89076,1
Jennifer Grant,AIR PRODUCTS & CHEMICALS INC,2017,Voluntary,0.88448,0
Jennifer Grant,AIR PRODUCTS & CHEMICALS INC,2017,Voluntary,0.97478,1
Roger Fradin,HONEYWELL INTERNATIONAL INC,2015,Voluntary,0.67794,0
Roger Fradin,HONEYWELL INTERNATIONAL INC,2015,Voluntary,0.77386,1
Thomas Szlosek,HONEYWELL INTERNATIONAL INC,2018,Voluntary,0.91366,0
Thomas Szlosek,HONEYWELL INTERNATIONAL INC,2018,Voluntary,0.96996,1
Timothy Mahoney,HONEYWELL INTERNATIONAL INC,2019,Voluntary,0.8871,0
Timothy Mahoney,HONEYWELL INTERNATIONAL INC,2019,Voluntary,0.32604,1
Mark James,HONEYWELL INTERNATIONAL INC,2019,Voluntary,0.88016,0
Mark James,HONEYWELL INTERNATIONAL INC,2019,Voluntary,0.17922,1
Que Dallara,HONEYWELL INTERNATIONAL INC,2021,Voluntary,0.78086,0
Que Dallara,HONEYWELL INTERNATIONAL INC,2021,Voluntary,0.8091,1
Mark Tremallo,SKYWORKS SOLUTIONS INC,2016,Voluntary,0.76348,0
Mark Tremallo,SKYWORKS SOLUTIONS INC,2016,Voluntary,0.9843,1
"Peter Gammel, Ph.D.",SKYWORKS SOLUTIONS INC,2019,Voluntary,0.36322,0
"Peter Gammel, Ph.D.",SKYWORKS SOLUTIONS INC,2019,Voluntary,0.9165,1
Karilee Durham,SKYWORKS SOLUTIONS INC,2021,Voluntary,0.64182,0
Karilee Durham,SKYWORKS SOLUTIONS INC,2021,Voluntary,0.55694,1
Michael Turner,HESS CORP,2019,Voluntary,0.79166,0
Michael Turner,HESS CORP,2019,Voluntary,0.82974,1
